Date,Type,User,Tweet,Keywords,Likes,Retweets,Hashtags,Mentions
2023-04-21 19:55:24,Regular tweet,UX_JBo,@A6thSense They was a game out the playoffs n that stiff ass division last year law. But I digree lol,0,0,[],['A6thSense']
2023-04-21 19:55:21,Regular tweet,NickSyron,Yup cubs are def making playoffs LFG,0,0,[],[]
2023-04-21 19:55:19,Regular tweet,JayeDoe,Dodgers might have to trade some valuable players to get some pitching or they not making the playoffs,0,0,[],[]
2023-04-21 19:55:19,Regular tweet,TWolvesEspNBA,Game day !   Denver Nuggets  Target Center  3:30 / 22:30 / 19:30   Es hoy o nunca; si los Timberwolves quieren seguir so\u00f1ando con hacer una carrera profunda en los playoffs tienen que ganar hoy. https://t.co/iJTamT8huW,0,0,[],[]
2023-04-21 19:55:18,Regular tweet,bburnss,RT @Itamar_17_10: Who remembers the last time Robert Covington; playing alongside Russell Westbrook and Eric Gordon; faced Chris Paul in th\u2026,0,7,[],['Itamar_17_10']
2023-04-21 19:55:17,Regular tweet,lexim325,RT @NYRStatsInfo: In the entire 2022 playoffs; only eight players had four or more PPGs. Chris Kreider has matched that number in five peri\u2026,0,93,[],['NYRStatsInfo']
2023-04-21 19:55:33,Regular tweet,Matt_M_626,@GuayakiPapi24 @Lakers_310 Yea a variety pack too,0,0,[],['GuayakiPapi24', 'Lakers_310']
2023-04-21 19:55:33,Regular tweet,24_Nebat,RT @TheNBACentral: The get-in price for the next Lakers home game is $264   The get-in price for the next Clippers home game is $53   (Via\u2026,0,230,[],['TheNBACentral']
2023-04-21 19:55:29,Regular tweet,sir_richmond20,RT @Grizz_Lead: Jaren Jackson Jr. Through the First 2 Games of the First Round Against the Lakers:  - 38.5 MIN - 24.5 PTS - 7.0 REB - 3.5 A\u2026,0,29,[],['Grizz_Lead']
2023-04-21 19:55:27,Regular tweet,ILOVECOLLECTIN1,RT @GotdemCards: LeBron James four card lot #LakersNation #Lakers   $3 each or $10 Takes em OBO  RT's and Tags Always appreciated   #baske\u2026,0,6,['LakersNation', 'Lakers'],['GotdemCards']
2023-04-21 19:55:24,Regular tweet,SportsBraza,Playoff de NBA \u00e9 melhor que copa do mundo. Tem jogo todos os dias; e \u00e9 todo ano. S\u00f3 jog\u00e3o. Esse Lakers x Memphis promete demais.,0,0,[],[]
2023-04-21 19:55:24,Regular tweet,LaaNDeeR10,@Dloading I believe in you bro; but if you want to be back on the lakers next year and be the future PG of our team you have to play much much better and with better intensity ,0,0,[],['Dloading']
2023-04-21 19:55:19,Regular tweet,ivanernestop,RT @nicosernaes: #Noticia en la \"Casa Blanca Humana\". Biden acepta acuerdo bilateral para que la Primera Dama sea porrista de Los \u00c1ngeles L\u2026,0,607,['Noticia'],['nicosernaes']
2023-04-21 19:55:18,Regular tweet,fuewop,RT @phillvmikan: lifehack:   buy a ticket for the clippers game and hide in the bathroom until the lakers game starts a couple hours late,0,765,[],['phillvmikan']
2023-04-21 19:55:13,Regular tweet,That1RipCityGuy,@KevinCalabro I was today years old when I found out you called the game 4 vs. #2 seed Phoenix Suns; and #7 LA Lakers when Kobe hit the game winner to beat the Suns 99-98,0,0,[],['KevinCalabro']
2023-04-21 19:55:12,Regular tweet,Matt_M_626,@Lakers_310 @GuayakiPapi24 Blame my girl,0,0,[],['Lakers_310', 'GuayakiPapi24']
2023-04-21 19:55:06,Regular tweet,Val12Ferreira,RT @phillvmikan: lifehack:   buy a ticket for the clippers game and hide in the bathroom until the lakers game starts a couple hours late,0,765,[],['phillvmikan']
2023-04-21 19:55:03,Regular tweet,GuayakiPapi24,@Matt_M_626 @Lakers_310 Oh they got them in 12 packs?,1,0,[],['Matt_M_626', 'Lakers_310']
2023-04-21 19:54:59,Regular tweet,Matt_M_626,@Lakers_310 @GuayakiPapi24 Lmaooo it\u2019s all good,0,0,[],['Lakers_310', 'GuayakiPapi24']
2023-04-21 19:54:59,Regular tweet,MvulaUlemu,RT @LakeShowYo: name a random Lakers player,0,12,[],['LakeShowYo']
2023-04-21 19:54:58,Regular tweet,micamrivera,RT @phillvmikan: lifehack:   buy a ticket for the clippers game and hide in the bathroom until the lakers game starts a couple hours late,0,765,[],['phillvmikan']
2023-04-21 20:13:15,Regular tweet,LeoHope94,RT @SwishTheory: .@ChipJNBA attended the Portsmouth Invitational Tournament for overlooked NCAA upperclassmen trying to vie for last roster\u2026,0,7,[],['SwishTheory', 'ChipJNBA']
2023-04-21 20:13:15,Regular tweet,WavvySkiiny,RT @CelticsGRD: @wojespn Embiid kicking guys in the groin and the nba looks the other way,0,5,[],['CelticsGRD', 'wojespn']
2023-04-21 20:13:14,Regular tweet,_drippy00,RT @YbUpdate: Jim Jones says no rapper of this generation is fw NBA YoungBoy https://t.co/BxqH8eR9dU,0,207,[],['YbUpdate']
2023-04-21 20:13:14,Regular tweet,CamSoWavy22,RT @espn: Victor Wembanyama officially declares for the 2023 NBA draft with @malika_andrews    (via NBA Today) https://t.co/OMgOJket4t,0,755,[],['espn', 'malika_andrews']
2023-04-21 20:13:13,Regular tweet,Chrisghrobot,@KirklundTheKid @curiosityman2 What's funnier is NBA twitter of all communities had to lead the charge in getting him suspended lmao,0,0,[],['KirklundTheKid', 'curiosityman2']
2023-04-21 20:13:13,Regular tweet,BostonVsTheBook,RT @sportstalkmatt: Roll Call Friday on @BostonVsTheBook ... This is the most fun show of the week. @SportsbkConsig calls out members of ou\u2026,0,1,[],['sportstalkmatt', 'BostonVsTheBook', 'SportsbkConsig']
2023-04-21 20:13:13,Regular tweet,Rafy191r,RT @AndrewDBailey: I've said it before; but Stephen Curry has a real \"top five all time\" argument.  - Greatest shooter of all time (the gam\u2026,0,79,[],['AndrewDBailey']
2023-04-21 20:13:12,Regular tweet,ChurchLead,RT @ChurchLead: ICYMI:As the Celtics have taken a two-game lead over the Atlanta Hawks in the first round of the NBA playoffs; veteran cent\u2026,0,2,[],['ChurchLead']
2023-04-21 20:13:11,Regular tweet,BaayMoBreezy,@NBA @celtics Bobby &gt;&gt;&gt; https://t.co/IvZbbDLQLy,0,0,[],['NBA', 'celtics']
2023-04-21 20:13:11,Regular tweet,JordanHickey32,RT @ballknowerwill: 6\u20193 PG Jaden Bradley  Former 5 star recruit in the class of 2022. Averaged 7 and 3 in 20 MPG on the #1 team in the coun\u2026,0,11,[],['ballknowerwill']
2023-04-21 20:13:10,Regular tweet,lilbabychance_,RT @HilltopNBA: 5 years ago today; Jrue Holiday and Anthony Davis destroyed the Blazers.  Jrue: 41 PTS - 8 AST - 15/23 FG AD: 47 PTS - 10 R\u2026,0,23,[],['HilltopNBA']
2023-04-21 20:13:09,Regular tweet,Nathancantor1,RT @VisionCapper:  LIKE AND RT TO GET OUR 100U MAX WHALE FOR FREE  SENDING THIS TO EVERYONE VIA DM!!!   LET\u2019S GOOOOOO #VISIONFAM!!!  #Ga\u2026,0,3,['VISIONFAM'],['VisionCapper']
2023-04-21 20:13:09,Regular tweet,24Seanmurphy,RT @AnotherZagsBlog: I don't think it should be super surprising Ryan Nembhard chose Gonzaga over AZ. Tommy Lloyd may have helped land Andr\u2026,0,1,[],['AnotherZagsBlog']
2023-04-21 20:13:08,Regular tweet,KnicksMuse,DISCLAIMER: There are so many factors not taken into account when looking at a ref\u2019s record.   There are no current NBA officials active looking to cheat one team out of a game. Use your brain.,0,0,[],[]
2023-04-21 20:13:07,Regular tweet,ColinAKershaw,@elonmusk @paulg Its only fare that you go on live space and pick a birthday ; i suggest using a nba draft lottery ball machine and that person gets a choice between a free scoop of ice cream or a Titter shirt that says ''Pay the $8\",0,0,[],['elonmusk', 'paulg']
2023-04-21 20:13:14,Regular tweet,g_calcoa,@Pabloojas93 @CurtaVermelha Eu sei. O playoff \u00e9 para os campe\u00f5es dos pa\u00edses. Mas \u00e9 justo n\u00e3o jogarem a fase de grupos? Porque raz\u00e3o n\u00e3o entram para a fase de grupos; e extendem o n\u00famero de equipas a\u00ed; em vez de extender j\u00e1 que nos playoffs? N\u00e3o me faz sentido,0,0,[],['Pabloojas93', 'CurtaVermelha']
2023-04-21 20:13:12,Regular tweet,Louis_Diesel,RT @NHL: #StanleyCup Playoffs Patrick Kane has arrived.   Multi-Angle Goals presented by @DKSportsbook https://t.co/WvSimyIkC9,0,21,['StanleyCup'],['NHL', 'DKSportsbook']
2023-04-21 20:13:12,Regular tweet,GiantB3TTA,@MrSplashman99_ Enjoy playoffs AD,0,0,[],['MrSplashman99_']
2023-04-21 20:13:12,Regular tweet,ChurchLead,RT @ChurchLead: ICYMI:As the Celtics have taken a two-game lead over the Atlanta Hawks in the first round of the NBA playoffs; veteran cent\u2026,0,2,[],['ChurchLead']
2023-04-21 20:13:06,Regular tweet,iceman2149,@LeafsForeverFR @jeudepuissance Je ne vois pas bien le lien de cause \u00e0 effet; d\u2019autant que ce format de playoffs est vraiment minable. Vivement le retour du format de 1 \u00e0 8 dans chaque conf\u00e9rence; savoir depuis 3 mois qu\u2019on aura un Toronto-Tampa au premier tour \u00e7a n\u2019a rien d\u2019exaltant.,0,0,[],['LeafsForeverFR', 'jeudepuissance']
2023-04-21 20:13:03,Regular tweet,LeslieDahirel,RT @TrashTalk_fr:  JEU-CONCOURS !    Pendant les Playoffs; TrashTalk et ParionsSport te font gagner 1 maillot diff\u00e9rent CHAQUE LUNDI ! \u2026,0,2254,[],['TrashTalk_fr']
2023-04-21 20:13:02,Regular tweet,kurri_jari,@Aloysiu63152881 @Liams_Hockey @CaronaHobby @burnsieoriginal 1991 playoffs. He knocked Kudelski out of the series as well.,0,0,[],['Aloysiu63152881', 'Liams_Hockey', 'CaronaHobby', 'burnsieoriginal']
2023-04-21 20:13:02,Regular tweet,a37sn,RT @statmuse: Jamal Murray all-time:  Playoffs \u2014               Regular season \u2014  24.7 PPG                  16.9 PPG 4.7 RPG\u2026,0,135,[],['statmuse']
